Time| STA Mac| From AP| To AP
20|00:00:00:00:00:01|network-A|network-B
20|00:00:00:00:00:02|network-A|network-B
20|00:00:00:00:00:03|network-A|network-B
20|00:00:00:00:00:04|network-A|network-B
20|00:00:00:00:00:11|network-B|network-A
20|00:00:00:00:00:12|network-B|network-A
20|00:00:00:00:00:13|network-B|network-A
20|00:00:00:00:00:14|network-B|network-A
20|00:00:00:00:00:15|network-B|network-A
20|00:00:00:00:00:16|network-B|network-A
20|00:00:00:00:00:17|network-B|network-A
20|00:00:00:00:00:18|network-B|network-A
40|00:00:00:00:00:05|network-A|network-B
40|00:00:00:00:00:06|network-A|network-B
40|00:00:00:00:00:07|network-A|network-B
40|00:00:00:00:00:08|network-A|network-B
40|00:00:00:00:00:09|network-A|network-B
40|00:00:00:00:00:0a|network-A|network-B
40|00:00:00:00:00:0b|network-A|network-B
40|00:00:00:00:00:0c|network-A|network-B
40|00:00:00:00:00:0d|network-A|network-B
40|00:00:00:00:00:0e|network-A|network-B
40|00:00:00:00:00:19|network-B|network-A
40|00:00:00:00:00:1a|network-B|network-A
40|00:00:00:00:00:1b|network-B|network-A
40|00:00:00:00:00:1c|network-B|network-A
40|00:00:00:00:00:1d|network-B|network-A
40|00:00:00:00:00:1e|network-B|network-A