Time,AP1_Bytes,AP2_Bytes
1,0,0
2,771328,546112
3,1728128,1626560
4,2838016,2659904
5,3753600,3766848
6,4845824,4948864
7,5837952,5955712
8,6824192,6977280
9,8004736,7783936
10,9089600,8740736
11,10159744,9891840
12,11340288,10730880
13,12435456,11689152
14,13471744,12620928
15,14357888,13819136
16,15333824,14678784
17,16275904,15609088
18,17222400,16589440
19,18165952,17721408
20,19180160,18423552
21,20153152,19237568
22,21127616,20131072
23,22380288,20852352
24,23184000,21601600
25,24383680,22427392
26,25290432,23348864
27,26051456,24429312
28,27003840,25302208
29,28018048,25793856
30,29091136,26465088
31,30083264,27074496
32,30959104,27761920
33,32057216,28222656
34,33224512,28752576
35,34191616,29401728
36,35553216,29865408
37,36589504,30763328
38,37490368,31430144
39,38233728,32266240
40,39164032,33084672
41,40091392,33708800
42,41133568,34393280
43,41993216,35042432
44,42942656,35706304
45,44235072,36259776
46,45396480,37032576
47,46260544,37649344
48,47426368,38355904
49,48630464,38972672
50,49528384,39654208
51,50277632,40341632
52,51016576,41160064
53,51807040,41903424
54,52637248,42810176
55,53398272,43864128
56,54360960,44660480
57,55425216,45546624
58,56343744,46384192
59,57438912,47076032